[Thu Oct 21 17:03:24.220 2010] 0.000 sec [all/0/rel 0 (0,20)] [*] a
[Thu Oct 21 17:55:10.805 2010] 0.024 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:04:13.488 2010] 0.000 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:09:08.951 2010] 0.001 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:09:19.025 2010] 0.001 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:14:34.506 2010] 0.000 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:15:19.787 2010] 0.001 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:15:21.959 2010] 0.001 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:23:53.500 2010] 0.000 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:24:04.539 2010] 0.000 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:24:09.200 2010] 0.001 sec [all/0/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:26:32.348 2010] 0.000 sec [all/1/rel 106 (0,20)] [*] inc
[Thu Oct 21 18:26:38.272 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] inc
